,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
198,2.1540811077841038e-16,5.0378994041753504e-18,18.08930631777543,0.02539323556645826,2459015.8753935,V,True,88,21.24539350019768,V
199,1.9806873766194093e-16,4.44922566143079e-18,18.180420764911748,0.024388305812491514,2459016.8753935,V,True,88,22.24539350019768,V
200,1.8371675731903407e-16,3.3728743045349588e-18,18.26208694630906,0.019932973279411383,2459017.8753935,V,True,88,23.24539350019768,V
201,1.7239550694751986e-16,4.0844637980536166e-18,18.331142675948506,0.025724742355186857,2459018.8753935,V,True,88,24.24539350019768,V
202,1.625791898132878e-16,4.956251432043216e-18,18.39479532156189,0.03309931007233196,2459019.8753935,V,True,88,25.24539350019768,V
203,1.52156383940085e-16,4.681559916701147e-18,18.46673363245965,0.03340566120890974,2459020.8753935,V,True,88,26.24539350019768,V
204,1.4157316866624062e-16,4.08363240637182e-18,18.545006642134098,0.03131789746135658,2459021.8753935,V,True,88,27.24539350019768,V
205,1.3272518305376521e-16,4.820858416783813e-18,18.615074075899884,0.0394375725588195,2459022.8753935,V,True,88,28.24539350019768,V
206,1.2624960370134124e-16,6.017571357388937e-18,18.669380742128613,0.051751452672937064,2459023.8753935,V,True,88,29.24539350019768,V
207,1.2198712641843796e-16,6.624449603509725e-18,18.70666982243868,0.05896058030912484,2459024.8753935,V,True,88,30.24539350019768,V
208,1.1856229887613965e-16,6.697330554637961e-18,18.73758851090777,0.061331031421159476,2459025.8753935,V,True,88,31.24539350019768,V
209,1.1343260294219852e-16,6.8964738649524756e-18,18.7856126291977,0.0660114839077079,2459026.8753935,V,True,88,32.24539350019768,V
210,1.0525652285420903e-16,7.772817532502618e-18,18.866839444485596,0.08018093371759358,2459027.8753935,V,True,88,33.24539350019768,V
211,9.528488201633333e-17,9.26765695581123e-18,18.974905377252668,0.1056077746306839,2459028.8753935,V,True,88,34.24539350019768,V
212,8.559563643263903e-17,1.1463955231968394e-17,19.09133618098249,0.145423675575325,2459029.8753935,V,True,88,35.24539350019768,V
213,7.754896581312232e-17,1.4437682719884847e-17,19.198522275229415,0.20214795044400485,2459030.8753935,V,True,88,36.24539350019768,V
214,7.164663669464788e-17,1.807837803599674e-17,19.284469164328506,0.27397008798412653,2459031.8753935,V,True,88,37.24539350019768,V
215,6.77358746622907e-17,2.156405436362707e-17,19.345409257207177,0.3456550079800284,2459032.8753935,V,True,88,38.24539350019768,V
216,6.530983165219967e-17,2.366344978509005e-17,19.38500845040353,0.39339208196688275,2459033.8753935,V,True,88,39.24539350019768,V
217,6.375030551375704e-17,2.3471375999843256e-17,19.411248765012378,0.3997421363465324,2459034.8753935,V,True,88,40.24539350019768,V
218,6.248846365288848e-17,2.0678058248796702e-17,19.432954789369354,0.35927867107554656,2459035.8753935,V,True,88,41.24539350019768,V
219,6.116039943943662e-17,1.5602497485165718e-17,19.456278743693304,0.2769756376695545,2459036.8753935,V,True,88,42.24539350019768,V
220,5.97083574822427e-17,9.268220645154103e-18,19.48236680715047,0.16852810573434354,2459037.8753935,V,True,88,43.24539350019768,V
221,5.823600815357304e-17,4.3631003506468685e-18,19.50947563707024,0.08134254722203443,2459038.8753935,V,True,88,44.24539350019768,V
222,5.675276199086549e-17,5.570135043745124e-18,19.53748722978203,0.10656482223716353,2459039.8753935,V,True,88,45.24539350019768,V
223,5.517557857304189e-17,7.534131098167574e-18,19.568087560959366,0.14825691362496982,2459040.8753935,V,True,88,46.24539350019768,V
224,5.383174167231715e-17,8.426221809821401e-18,19.59485832260881,0.16994987945820147,2459041.8753935,V,True,88,47.24539350019768,V
225,5.310938768959144e-17,9.768327684573694e-18,19.609525835372217,0.199698327216991,2459042.8753935,V,True,88,48.24539350019768,V
